name,startDate,endDate,city,state,image,icon,website
Hack the 6ix 2018,2018-08-24,2018-08-26,Toronto,ON,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/909/thumb/Hackthe6ixcityBackground.jpg?1527782042,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/909/thumb/Hackthe6ixMLHLogo.jpg?1527782042,http://hackthe6ix.com/
HackMTY,2018-08-25,2018-08-26,Monterrey,MX,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/910/thumb/HackMTYsplash-MLH.png?1527782154,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/910/thumb/HackMTYLogo-MLH.png?1527782154,http://hackmty.com/
ByteHacks,2018-09-01,2018-09-02,New York,NY,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/911/thumb/ByteHacks_MLH_Cover.png?1527782234,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/911/thumb/ByteHacks_Logo.png?1527782234,http://bytehacks.org/
MedHacks,2018-09-07,2018-09-09,Baltimore,MD,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/923/thumb/MedHacks_Logo-06.jpg?1530279199,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/923/thumb/MedHacks_Logo-04.jpg?1530279198,http://medhacks.org/2018
MXHacks,2018-09-07,2018-09-09,Mexico City,MX,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/932/thumb/494092903_961bb006da.jpg?1532963081,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/932/thumb/logo.jpeg?1532963080,https://mxhacks.io/
PennApps,2018-09-07,2018-09-09,Philadelphia,PA,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/929/thumb/philadelphia-skyline-river-108957686.jpg?1531949145,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/929/thumb/logo-final-light.png?1531949145,http://2018f.pennapps.com/
HackTheU,2018-09-08,2018-09-09,Salt Lake City,UT,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/924/thumb/Event_Square.png?1530802628,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/924/thumb/Logo_with_Black_Background_-_No_Space-01.png?1530802627,http://hacktheu.com/
HackRice 8,2018-09-14,2018-09-16,Houston,TX,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/926/thumb/mlh.png?1531248523,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/926/thumb/logo_square_purple_2x.png?1531248522,http://hack.rice.edu/
Hack the North,2018-09-14,2018-09-16,Waterloo,ON,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/930/thumb/htnsplash.png?1532400383,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/930/thumb/HtNlogo.png?1532400383,https://hackthenorth.com/
SBU Hacks,2018-09-14,2018-09-15,Stony Brook,NY,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/925/thumb/Planetblack.png?1531247362,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/925/thumb/logo.png?1531247128,http://sbuhacks.org/
ShellHacks,2018-09-14,2018-09-16,Miami,FL,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/912/thumb/shellhacks_MLH_Background.png?1527795905,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/912/thumb/Shelllogo.png?1527782408,https://shellhacks.net/
Hophacks,2018-09-15,2018-09-17,Baltimore,MD,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/913/thumb/hophacksmd-wifi.png?1527782502,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/913/thumb/hophacksmlh_logo.png?1527782501,http://hophacks.com/
Lumohacks,2018-09-15,2018-09-16,Burnaby,BC,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/944/thumb/Lumohacks_square_bg.png?1534370502,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/944/thumb/Lumohacks_square_logo.png?1534370502,http://lumohacks.com/
BASEHacks 3.0,2018-09-22,2018-09-23,Fremont,CA,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/937/thumb/basehacksbackground.png?1533835711,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/937/thumb/basehacks2logo.png?1533835710,http://www.basehacks.org/
GrizzHacks,2018-09-22,2018-09-23,Rochester,MI,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/927/thumb/grizzaerial-480__2_.jpg?1531324431,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/927/thumb/grizzlogo-plain.png?1531324425,http://grizzhacks.com/
Ram Hacks,2018-09-22,2018-09-23,Richmond,VA,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/914/thumb/ramhacks_bg.jpg?1527782576,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/914/thumb/ramhacks_logo.jpg?1527782576,http://ramhacks.vcu.edu/
Volhacks,2018-09-28,2018-09-30,Knoxville,TN,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/915/thumb/volhacksmknight_300x300.png?1527782734,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/915/thumb/volhackssocial_icon1small100x100.png?1527782734,https://volhacks.org/
HackNY,2018-09-29,2018-09-30,New York,NY,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/943/thumb/hackny_mlh_splash.jpg?1534175324,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/943/thumb/hackNY_Square_Red_Logo100px.png?1534175324,http://hackny.org/hackathon/
Mining hack,2018-09-29,2018-09-30,Torreón,MX,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/990/thumb/b5.jpg?1535648341,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/990/thumb/ava_sq.jpg?1535648341,http://mininghack.tech/
HackGSU,2018-10-05,2018-10-07,Atlanta,GA,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/922/thumb/hackgsu_mlh_splash_300.png?1528463298,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/922/thumb/Screen_Shot_2018-06-04_at_2.32.39_PM.jpg?1528463298,http://hackgsu.com/
HackNC,2018-10-05,2018-10-07,Chapel Hill,NC,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/999/thumb/CarnivalBanner-mlh.png?1536598748,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/999/thumb/logo_%281%29.png?1536598747,http://hacknc.com
Hack This. Help Kids.,2018-10-05,2018-10-06,Pittsburgh,PA,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/933/thumb/18204w_Hackathon---MLH-Image_d2.jpg?1536320403,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/933/thumb/UPMC_CHP.jpg?1536320403,http://hackthishelpkids.com
HackPSU,2018-10-06,2018-10-07,State College,PA,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/942/thumb/MLH_splash.jpg?1534174606,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/942/thumb/MLH_logo1.jpg?1534174605,https://hackpsu.org/
HackRU,2018-10-06,2018-10-07,New Brunswick,NJ,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/939/thumb/icon-wbgsplash.png?1533847456,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/939/thumb/hackruF18logo.png?1533847456,https://www.hackru.org/
HackUIowa,2018-10-06,2018-10-07,Iowa City,IA,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/934/thumb/UIOWA_background.jpg?1533247483,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/934/thumb/UIOWA_Hackathon_logo_2018.png?1533247483,http://bigdata.uiowa.edu/
HackUTA,2018-10-06,2018-10-07,Arlington,TX,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/001/000/thumb/background.jpg?1536700056,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/001/000/thumb/dense_horse_copy_2__1_.png?1536700056,http://hackuta.com
HAkron 3000,2018-10-06,2018-10-07,Akron,OH,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/992/thumb/event_background_square.png?1535735878,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/992/thumb/event_logo_square.png?1535735877,http://www.hakron.io/
HackCooper,2018-10-12,2018-10-13,New York,NY,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/988/thumb/cooper_union_square.jpg?1535643552,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/988/thumb/hackcooper_square.jpg?1535643552,http://hackcooper.org/
HackUMass  ,2018-10-12,2018-10-14,Amherst,MA,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/986/thumb/venue_sq.jpg?1535482772,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/986/thumb/Square_WhiteBG.jpg?1535482772,https://hackumass.com/
MHacks,2018-10-12,2018-10-14,Ann Arbor,MI,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/991/thumb/mhacksbackground.jpg?1535734234,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/991/thumb/mhackslogo.png?1535734230,https://mhacks.org/
PatriotHacks,2018-10-12,2018-10-14,Fairfax,VA,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/940/thumb/p_hacks_no_outline.png?1533849966,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/940/thumb/final-patriothacks-100.png?1533849966,http://patriothacks.org/
SD Hacks,2018-10-12,2018-10-14,La Jolla,CA,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/917/thumb/SDHAcksSplash.png?1527782931,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/917/thumb/SD_Hacks_logo.png?1527782931,http://www.sdhacks.io/
EastHacks,2018-10-13,2018-10-14,Cherry Hill,NJ,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/001/003/thumb/199d240828536b0636f634f41674259416c6743.jpg?1536885592,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/001/003/thumb/unnamed_%281%29.jpg?1536885592,https://www.easthacks.us/
BigRed//Hacks,2018-10-19,2018-10-21,Ithaca,NY,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/919/thumb/brh-wallpaper-branded.png?1527783091,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/919/thumb/BRH_logo_2017__1_.png?1527783091,http://bigredhacks.com/
BoilerMake,2018-10-19,2018-10-21,West Lafayette,IN,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/947/thumb/bmback.png?1534951260,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/947/thumb/bmlogo.png?1534951259,http://boilermake.org
HackGT,2018-10-19,2018-10-21,Atlanta,GA,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/918/thumb/300x300_HackGTSplashImage.png?1527783018,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/918/thumb/100x100_HackGTEventLogo.png?1527783018,https://2018.hack.gt/
HackHarvard,2018-10-19,2018-10-21,Cambridge,MA,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/984/thumb/mlh_harvard_bg.png?1535052967,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/984/thumb/mlh_hh_logo.png?1535052967,http://hackharvard.io/
HackISU,2018-10-19,2018-10-21,Ames,IA,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/928/thumb/Backdrop.png?1531834339,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/928/thumb/Squirrel-X.png?1531834338,http://hackisu.org/
Hack KState,2018-10-19,2018-10-21,Manhattan,KS,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/941/thumb/background.jpg?1533925636,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/941/thumb/logo_%281%29.png?1533925635,https://hackkstate.tech/
 Kent Hack Enough ,2018-10-19,2018-10-21,Kent,OH,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/983/thumb/KHEbackground.png?1535037743,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/983/thumb/KHElogo.png?1535037743,http://khe.io/
DemonHacks,2018-10-20,2018-10-21,Chicago,IL,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/945/thumb/Hancock300x300.jpg?1534801917,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/945/thumb/Demonhacks_2018_Final_.png?1534801917,http://demonhacks.com/
DubHacks,2018-10-20,2018-10-21,Seattle,WA,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/948/thumb/mlh-dubhacks-cover.png?1534952894,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/948/thumb/mlh-dubhacks-profile.png?1534952894,http://dubhacks.co/
HackTX,2018-10-20,2018-10-21,Austin,TX,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/949/thumb/MLHBanner.png?1534953031,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/949/thumb/Favicon.png?1534953031,http://hacktx.com/
HackUMBC,2018-10-20,2018-10-21,Baltimore,MD,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/946/thumb/TrueGritGray.jpg?1534876208,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/946/thumb/HackUMBC.Facebook.Logo.jpg?1534876208,http://hackumbc.org/
HyphenHacks,2018-10-20,2018-10-21,San Francisco,CA,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/931/thumb/lick-wilmerding-exterior-3_%281%29.jpg?1532451294,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/931/thumb/hyphhack_%281%29.png?1532451294,https://hyphen-hacks.com/
Power the Future,2018-10-20,2018-10-21,Richmond,VA,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/920/thumb/ptf_2018_300by300.png?1527783175,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/920/thumb/ptf_2018_100by100.png?1527783175,http://powerthefuture.energy/
Cal Hacks 5.0  ,2018-11-02,2018-11-04,Berkeley,CA,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/996/thumb/circut.png?1536344821,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/996/thumb/Icon__2_.png?1536344821,https://2018.calhacks.io/
VandyHacks,2018-11-02,2018-11-04,Nashville,TN,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/993/thumb/Square_Background_2-01.png?1536077399,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/993/thumb/vhlogocropped.png?1536077399,https://vandyhacks.org/
HackBI II,2018-11-03,2018-11-04,Alexandria,VA,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/995/thumb/School_Picture_%282%29.JPG?1536263339,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/995/thumb/Icon100x100_%281%29.png?1536263339,http://hackbi.org/
HackPrinceton,2018-11-09,2018-11-11,Princeton,NJ,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/998/thumb/30697825_1838013642915972_6276268012093833216_o.jpg?1536354525,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/998/thumb/pixel_logo__1_.png?1536354525,https://hackprinceton.com/
BostonHacks,2018-11-10,2018-11-11,Boston,MA,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/001/002/thumb/BostonHacks_EventBackground.jpg?1536850439,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/001/002/thumb/BostonHacks_EventLogo.jpg?1536850439,http://bostonhacks.io/
Technica,2018-11-10,2018-11-11,College Park,MD,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/985/thumb/banner_square.png?1535471649,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/985/thumb/Slice_1.png?1535471649,https://gotechnica.org/
BlocHacks,2018-11-17,2018-11-18,Montreal,QC,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/997/thumb/BackgroundSquare.png?1536346256,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/997/thumb/DevBlocSquare.png?1536346255,http://www.blochacks.com/
Hack Western V,2018-11-23,2018-11-25,London,ON,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/921/thumb/1hackwesternmlh_event_splash.png?1527783506,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/921/thumb/hackwesternmlh_event_logo.png?1527783506,https://hackwestern.com/
