name,startDate,website
Hack the 6ix 2018,2018-08-24,http://hackthe6ix.com/
HackMTY,2018-08-25,http://hackmty.com/
ByteHacks,2018-09-01,http://bytehacks.org/
MedHacks,2018-09-07,http://medhacks.org/2018
MXHacks,2018-09-07,https://mxhacks.io/
PennApps,2018-09-07,http://2018f.pennapps.com/
HackTheU,2018-09-08,http://hacktheu.com/
HackRice 8,2018-09-14,http://hack.rice.edu/
Hack the North,2018-09-14,https://hackthenorth.com/
SBU Hacks,2018-09-14,http://sbuhacks.org/
ShellHacks,2018-09-14,https://shellhacks.net/
Hophacks,2018-09-15,http://hophacks.com/
Lumohacks,2018-09-15,http://lumohacks.com/
BASEHacks 3.0,2018-09-22,http://www.basehacks.org/
GrizzHacks,2018-09-22,http://grizzhacks.com/
Ram Hacks,2018-09-22,http://ramhacks.vcu.edu/
Volhacks,2018-09-28,https://volhacks.org/
HackNY,2018-09-29,http://hackny.org/hackathon/
Mining hack,2018-09-29,http://mininghack.tech/
HackGSU,2018-10-05,http://hackgsu.com/
HackNC,2018-10-05,http://hacknc.com
Hack This. Help Kids.,2018-10-05,http://hackthishelpkids.com
HackPSU,2018-10-06,https://hackpsu.org/
HackRU,2018-10-06,https://www.hackru.org/
HackUIowa,2018-10-06,http://bigdata.uiowa.edu/
HackUTA,2018-10-06,http://hackuta.com
HAkron 3000,2018-10-06,http://www.hakron.io/
HackCooper,2018-10-12,http://hackcooper.org/
HackUMass  ,2018-10-12,https://hackumass.com/
MHacks,2018-10-12,https://mhacks.org/
PatriotHacks,2018-10-12,http://patriothacks.org/
SD Hacks,2018-10-12,http://www.sdhacks.io/
EastHacks,2018-10-13,https://www.easthacks.us/
BigRed//Hacks,2018-10-19,http://bigredhacks.com/
BoilerMake,2018-10-19,http://boilermake.org
HackGT,2018-10-19,https://2018.hack.gt/
HackHarvard,2018-10-19,http://hackharvard.io/
HackISU,2018-10-19,http://hackisu.org/
Hack KState,2018-10-19,https://hackkstate.tech/
 Kent Hack Enough ,2018-10-19,http://khe.io/
DemonHacks,2018-10-20,http://demonhacks.com/
DubHacks,2018-10-20,http://dubhacks.co/
HackTX,2018-10-20,http://hacktx.com/
HackUMBC,2018-10-20,http://hackumbc.org/
HyphenHacks,2018-10-20,https://hyphen-hacks.com/
Power the Future,2018-10-20,http://powerthefuture.energy/
Cal Hacks 5.0  ,2018-11-02,https://2018.calhacks.io/
VandyHacks,2018-11-02,https://vandyhacks.org/
HackBI II,2018-11-03,http://hackbi.org/
HackPrinceton,2018-11-09,https://hackprinceton.com/
BostonHacks,2018-11-10,http://bostonhacks.io/
Technica,2018-11-10,https://gotechnica.org/
BlocHacks,2018-11-17,http://www.blochacks.com/
Hack Western V,2018-11-23,https://hackwestern.com/
